Filename,Page/folio,Side,Label
052_028_R.tif,28,R,f. 028 R
052_028_V.tif,28,V,f. 028 V
052_029_R.tif,29,R,f. 029 R
052_029_V.tif,29,V,f. 029 V
052_030_R.tif,30,R,f. 030 R
052_030_V.tif,30,V,f. 030 V
052_031_R.tif,31,R,f. 031 R
052_031_V.tif,31,V,f. 031 V
052_032_R.tif,32,R,f. 032 R
052_032_V.tif,32,V,f. 032 V
052_033_R.tif,33,R,f. 033 R
052_033_V.tif,33,V,f. 033 V
052_034_R.tif,34,R,f. 034 R
052_034_V.tif,34,V,f. 034 V
052_035_R.tif,35,R,f. 035 R
052_035_V.tif,35,V,f. 035 V
052_036_R.tif,36,R,f. 036 R
052_036_V.tif,36,V,f. 036 V
052_037_R.tif,37,R,f. 037 R
052_037_V.tif,37,V,f. 037 V
052_038_R.tif,38,R,f. 038 R
052_038_V.tif,38,V,f. 038 V
052_039_R.tif,39,R,f. 039 R
052_039_V.tif,39,V,f. 039 V
052_040_R.tif,40,R,f. 040 R
052_040_V.tif,40,V,f. 040 V
052_041_R.tif,41,R,f. 041 R
052_041_V.tif,41,V,f. 041 V
052_042_R.tif,42,R,f. 042 R
052_042_V.tif,42,V,f. 042 V
052_043_R.tif,43,R,f. 043 R
052_043_V.tif,43,V,f. 043 V
052_044_R.tif,44,R,f. 044 R
052_044_V.tif,44,V,f. 044 V
052_045_R.tif,45,R,f. 045 R
052_045_V.tif,45,V,f. 045 V
052_046_R.tif,46,R,f. 046 R
052_046_V.tif,46,V,f. 046 V
052_047_R.tif,47,R,f. 047 R
052_047_V.tif,47,V,f. 047 V
052_048_R.tif,48,R,f. 048 R
052_048_V.tif,48,V,f. 048 V
052_049_R.tif,49,R,f. 049 R
052_049_V.tif,49,V,f. 049 V
052_050_R.tif,50,R,f. 050 R
052_050_V.tif,50,V,f. 050 V
052_051_R.tif,51,R,f. 051 R
052_051_V.tif,51,V,f. 051 V
052_052_R.tif,52,R,f. 052 R
052_052_V.tif,52,V,f. 052 V
052_053_R.tif,53,R,f. 053 R
052_053_V.tif,53,V,f. 053 V
052_054_R.tif,54,R,f. 054 R
052_054_V.tif,54,V,f. 054 V
052_055_R.tif,55,R,f. 055 R
052_055_V.tif,55,V,f. 055 V
052_056_R.tif,56,R,f. 056 R
052_056_V.tif,56,V,f. 056 V
052_057_R.tif,57,R,f. 057 R
052_057_V.tif,57,V,f. 057 V
052_058_R.tif,58,R,f. 058 R
052_058_V.tif,58,V,f. 058 V
052_059_R.tif,59,R,f. 059 R
052_059_V.tif,59,V,f. 059 V
052_060_R.tif,60,R,f. 060 R
052_060_V.tif,60,V,f. 060 V
052_061_R.tif,61,R,f. 061 R
052_061_V.tif,61,V,f. 061 V
052_062_R.tif,62,R,f. 062 R
052_062_V.tif,62,V,f. 062 V
052_063_R.tif,63,R,f. 063 R
052_063_V.tif,63,V,f. 063 V
052_064_R.tif,64,R,f. 064 R
052_064_V.tif,64,V,f. 064 V
052_065_R.tif,65,R,f. 065 R
052_065_V.tif,65,V,f. 065 V
052_066_R.tif,66,R,f. 066 R
052_066_V.tif,66,V,f. 066 V
052_067_R.tif,67,R,f. 067 R
052_067_V.tif,67,V,f. 067 V
052_068_R.tif,68,R,f. 068 R
052_068_V.tif,68,V,f. 068 V
052_069_R.tif,69,R,f. 069 R
052_069_V.tif,69,V,f. 069 V
052_070_R.tif,70,R,f. 070 R
052_070_V.tif,70,V,f. 070 V
052_071_R.tif,71,R,f. 071 R
052_071_V.tif,71,V,f. 071 V
052_072_R.tif,72,R,f. 072 R
052_072_V.tif,72,V,f. 072 V
052_073_R.tif,73,R,f. 073 R
052_073_V.tif,73,V,f. 073 V
052_074_R.tif,74,R,f. 074 R
052_074_V.tif,74,V,f. 074 V
052_075_R.tif,75,R,f. 075 R
052_075_V.tif,75,V,f. 075 V
052_076_R.tif,76,R,f. 076 R
052_076_V.tif,76,V,f. 076 V
052_077_R.tif,77,R,f. 077 R
052_077_V.tif,77,V,f. 077 V
052_078_R.tif,78,R,f. 078 R
052_078_V.tif,78,V,f. 078 V
052_079_R.tif,79,R,f. 079 R
052_079_V.tif,79,V,f. 079 V
052_080_R.tif,80,R,f. 080 R
052_080_V.tif,80,V,f. 080 V
052_081_R.tif,81,R,f. 081 R
052_081_V.tif,81,V,f. 081 V
052_082_R.tif,82,R,f. 082 R
052_082_V.tif,82,V,f. 082 V
052_083_R.tif,83,R,f. 083 R
052_083_V.tif,83,V,f. 083 V
052_084_R.tif,84,R,f. 084 R
052_084_V.tif,84,V,f. 084 V
052_085_R.tif,85,R,f. 085 R
052_085_V.tif,85,V,f. 085 V
052_086_R.tif,86,R,f. 086 R
052_086_V.tif,86,V,f. 086 V
052_087_R.tif,87,R,f. 087 R
052_087_V.tif,87,V,f. 087 V
052_088_R.tif,88,R,f. 088 R
052_088_V.tif,88,V,f. 088 V
052_089_R.tif,89,R,f. 089 R
052_089_V.tif,89,V,f. 089 V
052_090_R.tif,90,R,f. 090 R
052_090_V.tif,90,V,f. 090 V
052_091_R.tif,91,R,f. 091 R
052_091_V.tif,91,V,f. 091 V
052_092_R.tif,92,R,f. 092 R
052_092_V.tif,92,V,f. 092 V
052_093_R.tif,93,R,f. 093 R
052_093_V.tif,93,V,f. 093 V
052_094_R.tif,94,R,f. 094 R
052_094_V.tif,94,V,f. 094 V
052_095_R.tif,95,R,f. 095 R
052_095_V.tif,95,V,f. 095 V
052_096_R.tif,96,R,f. 096 R
052_096_V.tif,96,V,f. 096 V
052_097_R.tif,97,R,f. 097 R
052_097_V.tif,97,V,f. 097 V
052_098_R.tif,98,R,f. 098 R
052_098_V.tif,98,V,f. 098 V
052_099_R.tif,99,R,f. 099 R
052_099_V.tif,99,V,f. 099 V
052_100_R.tif,100,R,f. 100 R
052_100_V.tif,100,V,f. 100 V
052_101_R.tif,101,R,f. 101 R
052_101_V.tif,101,V,f. 101 V
052_102_R.tif,102,R,f. 102 R
052_102_V.tif,102,V,f. 102 V
052_103_R.tif,103,R,f. 103 R
052_103_V.tif,103,V,f. 103 V
052_104_R.tif,104,R,f. 104 R
052_104_V.tif,104,V,f. 104 V
052_105_R.tif,105,R,f. 105 R
052_105_V.tif,105,V,f. 105 V
052_106_R.tif,106,R,f. 106 R
052_106_V.tif,106,V,f. 106 V
052_107_R.tif,107,R,f. 107 R
052_107_V.tif,107,V,f. 107 V
052_108_R.tif,108,R,f. 108 R
052_108_V.tif,108,V,f. 108 V
052_109_R.tif,109,R,f. 109 R
052_109_V.tif,109,V,f. 109 V
052_110_R.tif,110,R,f. 110 R
052_110_V.tif,110,V,f. 110 V
052_111_R.tif,111,R,f. 111 R
052_111_V.tif,111,V,f. 111 V
052_112_R.tif,112,R,f. 112 R
052_112_V.tif,112,V,f. 112 V
052_113_R.tif,113,R,f. 113 R
052_113_V.tif,113,V,f. 113 V
052_114_R.tif,114,R,f. 114 R
052_114_V.tif,114,V,f. 114 V
052_115_R.tif,115,R,f. 115 R
052_115_V.tif,115,V,f. 115 V
052_116_R.tif,116,R,f. 116 R
052_116_V.tif,116,V,f. 116 V
052_117_R.tif,117,R,f. 117 R
052_117_V.tif,117,V,f. 117 V
052_118_R.tif,118,R,f. 118 R
052_118_V.tif,118,V,f. 118 V
052_119_R.tif,119,R,f. 119 R
052_119_V.tif,119,V,f. 119 V
052_120_R.tif,120,R,f. 120 R
052_120_V.tif,120,V,f. 120 V
052_121_R.tif,121,R,f. 121 R
052_121_V.tif,121,V,f. 121 V
052_122_R.tif,122,R,f. 122 R
052_122_V.tif,122,V,f. 122 V
052_123_R.tif,123,R,f. 123 R
052_123_V.tif,123,V,f. 123 V
052_124_R.tif,124,R,f. 124 R
052_124_V.tif,124,V,f. 124 V
052_125_R.tif,125,R,f. 125 R
052_125_V.tif,125,V,f. 125 V
052_126_R.tif,126,R,f. 126 R
052_126_V.tif,126,V,f. 126 V
052_127_R.tif,127,R,f. 127 R
052_127_V.tif,127,V,f. 127 V
052_128_R.tif,128,R,f. 128 R
052_128_V.tif,128,V,f. 128 V
052_129_R.tif,129,R,f. 129 R
052_129_V.tif,129,V,f. 129 V
052_130_R.tif,130,R,f. 130 R
052_130_V.tif,130,V,f. 130 V
052_131_R.tif,131,R,f. 131 R
052_131_V.tif,131,V,f. 131 V
052_132_R.tif,132,R,f. 132 R
052_132_V.tif,132,V,f. 132 V
052_133_R.tif,133,R,f. 133 R
052_133_V.tif,133,V,f. 133 V
052_134_R.tif,134,R,f. 134 R
052_134_V.tif,134,V,f. 134 V
052_135_R.tif,135,R,f. 135 R
052_135_V.tif,135,V,f. 135 V
052_136_R.tif,136,R,f. 136 R
052_136_V.tif,136,V,f. 136 V
052_137_R.tif,137,R,f. 137 R
052_137_V.tif,137,V,f. 137 V
052_138_R.tif,138,R,f. 138 R
052_138_V.tif,138,V,f. 138 V
052_139_R.tif,139,R,f. 139 R
052_139_V.tif,139,V,f. 139 V
052_140_R.tif,140,R,f. 140 R
052_140_V.tif,140,V,f. 140 V
052_141_R.tif,141,R,f. 141 R
052_141_V.tif,141,V,f. 141 V
052_142_R.tif,142,R,f. 142 R
052_142_V.tif,142,V,f. 142 V
052_143_R.tif,143,R,f. 143 R
052_143_V.tif,143,V,f. 143 V
052_144_R.tif,144,R,f. 144 R
052_144_V.tif,144,V,f. 144 V
052_145_R.tif,145,R,f. 145 R
052_145_V.tif,145,V,f. 145 V
052_146_R.tif,146,R,f. 146 R
052_146_V.tif,146,V,f. 146 V
052_147_R.tif,147,R,f. 147 R
052_147_V.tif,147,V,f. 147 V
052_148_R.tif,148,R,f. 148 R
052_148_V.tif,148,V,f. 148 V
052_149_R.tif,149,R,f. 149 R
052_149_V.tif,149,V,f. 149 V
052_150_R.tif,150,R,f. 150 R
052_150_V.tif,150,V,f. 150 V
052_151_R.tif,151,R,f. 151 R
052_151_V.tif,151,V,f. 151 V
052_152_R.tif,152,R,f. 152 R
052_152_V.tif,152,V,f. 152 V
052_153_R.tif,153,R,f. 153 R
052_153_V.tif,153,V,f. 153 V
052_154_R.tif,154,R,f. 154 R
052_154_V.tif,154,V,f. 154 V
052_155_R.tif,155,R,f. 155 R
052_155_V.tif,155,V,f. 155 V
052_156_R.tif,156,R,f. 156 R
052_156_V.tif,156,V,f. 156 V
052_157_R.tif,157,R,f. 157 R
052_157_V.tif,157,V,f. 157 V
052_158_R.tif,158,R,f. 158 R
052_158_V.tif,158,V,f. 158 V
052_159_R.tif,159,R,f. 159 R
052_159_V.tif,159,V,f. 159 V
052_160_R.tif,160,R,f. 160 R
052_160_V.tif,160,V,f. 160 V
052_161_R.tif,161,R,f. 161 R
052_161_V.tif,161,V,f. 161 V
052_162_R.tif,162,R,f. 162 R
052_162_V.tif,162,V,f. 162 V
052_163_R.tif,163,R,f. 163 R
052_163_V.tif,163,V,f. 163 V
052_164_R.tif,164,R,f. 164 R
052_164_V.tif,164,V,f. 164 V
052_165_R.tif,165,R,f. 165 R
052_165_V.tif,165,V,f. 165 V
052_166_R.tif,166,R,f. 166 R
052_166_V.tif,166,V,f. 166 V
052_167_R.tif,167,R,f. 167 R
052_167_V.tif,167,V,f. 167 V
052_168_R.tif,168,R,f. 168 R
052_168_V.tif,168,V,f. 168 V
052_169_R.tif,169,R,f. 169 R
052_169_V.tif,169,V,f. 169 V
052_170_R.tif,170,R,f. 170 R
052_170_V.tif,170,V,f. 170 V
052_171_R.tif,171,R,f. 171 R
052_171_V.tif,171,V,f. 171 V
052_172_R.tif,172,R,f. 172 R
052_172_V.tif,172,V,f. 172 V
052_173_R.tif,173,R,f. 173 R
052_173_V.tif,173,V,f. 173 V
052_174_R.tif,174,R,f. 174 R
052_174_V.tif,174,V,f. 174 V
052_175_R.tif,175,R,f. 175 R
052_175_V.tif,175,V,f. 175 V
052_176_R.tif,176,R,f. 176 R
052_176_V.tif,176,V,f. 176 V
052_177_R.tif,177,R,f. 177 R
052_177_V.tif,177,V,f. 177 V
052_178_R.tif,178,R,f. 178 R
052_178_V.tif,178,V,f. 178 V
052_179_R.tif,179,R,f. 179 R
052_179_V.tif,179,V,f. 179 V
052_180_R.tif,180,R,f. 180 R
052_180_V.tif,180,V,f. 180 V
052_181_R.tif,181,R,f. 181 R
052_181_V.tif,181,V,f. 181 V
052_182_R.tif,182,R,f. 182 R
052_182_V.tif,182,V,f. 182 V
052_183_R.tif,183,R,f. 183 R
052_183_V.tif,183,V,f. 183 V
052_184_R.tif,184,R,f. 184 R
052_184_V.tif,184,V,f. 184 V
052_185_R.tif,185,R,f. 185 R
052_185_V.tif,185,V,f. 185 V
052_186_R.tif,186,R,f. 186 R
052_186_V.tif,186,V,f. 186 V
052_187_R.tif,187,R,f. 187 R
052_187_V.tif,187,V,f. 187 V
052_188_R.tif,188,R,f. 188 R
052_188_V.tif,188,V,f. 188 V
052_189_R.tif,189,R,f. 189 R
052_189_V.tif,189,V,f. 189 V
052_190_R.tif,190,R,f. 190 R
052_190_V.tif,190,V,f. 190 V
052_191_R.tif,191,R,f. 191 R
052_191_V.tif,191,V,f. 191 V
052_192_R.tif,192,R,f. 192 R
052_192_V.tif,192,V,f. 192 V
052_193_R.tif,193,R,f. 193 R
052_193_V.tif,193,V,f. 193 V
052_194_R.tif,194,R,f. 194 R
052_194_V.tif,194,V,f. 194 V
052_195_R.tif,195,R,f. 195 R
052_195_V.tif,195,V,f. 195 V
052_196_R.tif,196,R,f. 196 R
052_196_V.tif,196,V,f. 196 V
052_197_R.tif,197,R,f. 197 R
052_197_V.tif,197,V,f. 197 V
052_198_R.tif,198,R,f. 198 R
052_198_V.tif,198,V,f. 198 V
052_199_R.tif,199,R,f. 199 R
052_199_V.tif,199,V,f. 199 V
052_200_R.tif,200,R,f. 200 R
052_200_V.tif,200,V,f. 200 V
052_201_R.tif,201,R,f. 201 R
052_201_V.tif,201,V,f. 201 V
052_202_R.tif,202,R,f. 202 R
052_202_V.tif,202,V,f. 202 V
052_203_R.tif,203,R,f. 203 R
052_203_V.tif,203,V,f. 203 V
052_v_R.tif,v,R,f. v R
052_v_V.tif,v,V,f. v V
052_c_R.tif,c,R,f. c R
052_c_V.tif,c,V,f. c V
052_d_R.tif,d,R,f. d R
052_d_V.tif,d,V,f. d V
052_bib.tif,bib.tif,,Back inside binding
052_bob.tif,bob.tif,,Back outside binding
